data,passive,q_factor
D0,,
0,(15.259164247184446-0.1679390209198677j),45.09413624507197
1,(16.15676214835872-0.16793900878942056j),41.87690598547579
2,(14.361566359894752-0.1679390733386672j),40.90570122641906
3,(17.054360069301527-0.16793899885733288j),34.56622408240015
4,(13.463968379460555-0.16793893251591321j),31.759896472656603
5,(17.951957941593616-0.16793895072084197j),27.155318117929536
6,(12.566370341211146-0.16793886449378456j),22.564619612294198
7,(18.84955584560221-0.16793889562563655j),21.204955007858754
8,(19.747153925527705-0.16793899658955103j),16.77900323372092
9,(11.668772566434942-0.16793899541138133j),15.557981778359974
10,(10.771174831050843-0.16793911010411794j),10.736101734934508
11,(9.873576892377944-0.16793867273222068j),7.4990301666383825
12,(8.975978910887365-0.16793868557555927j),5.310708763855089
13,(8.078380989960182-0.16793900439738857j),3.8036957276117755
14,(7.180783063820389-0.16793874330897124j),2.7432583475198
15,(6.283185752836929-0.16793863520979832j),1.9811187062524716
16,(5.385587151798313-0.16793939046066828j),1.4226461199963454
