# Ge-Chong-Stone PRA 82, 063824 (arXiv:1008.0628) Fig. 6, digitized
# exact_* : symbols (numerical solution of Eq. 28, exact SALT)
# spa_*   : solid lines (single-pole approximation, Eqs. 40, 44-45)
# NB: in the single-mode regime the symbols ride on the lines, so the
# spa_* series carry small bumps where merged markers were not separable.
series,D0,intensity
exact_dominant,1.0640,0.1598
exact_dominant,1.0887,0.1661
exact_dominant,1.1133,0.1722
exact_dominant,1.1384,0.1786
exact_dominant,1.1629,0.1850
exact_dominant,1.1876,0.1913
exact_dominant,1.2125,0.1975
exact_dominant,1.2372,0.2041
exact_dominant,1.2582,0.2104
exact_second,1.0392,0.0429
exact_second,1.0641,0.0501
exact_second,1.0887,0.0574
exact_second,1.1134,0.0647
exact_second,1.1382,0.0721
exact_second,1.1629,0.0796
exact_second,1.1876,0.0870
exact_second,1.2123,0.0945
exact_second,1.2370,0.1020
exact_second,1.2579,0.1096
exact_total,1.2584,0.3200
exact_total,0.9010,0.1238
exact_total,0.9053,0.1251
exact_total,0.9096,0.1283
exact_total,0.9138,0.1326
exact_total,0.9181,0.1328
exact_total,0.9224,0.1340
exact_total,0.9266,0.1363
exact_total,0.9309,0.1385
exact_total,0.9352,0.1415
exact_total,0.9395,0.1451
exact_total,0.9437,0.1443
exact_total,0.9480,0.1413
exact_total,0.9523,0.1496
exact_total,0.9565,0.1525
exact_total,0.9608,0.1553
exact_total,0.9651,0.1590
exact_total,0.9693,0.1568
exact_total,0.9736,0.1543
exact_total,0.9779,0.1630
exact_total,0.9822,0.1663
exact_total,0.9864,0.1693
exact_total,0.9907,0.1718
exact_total,0.9950,0.1696
exact_total,0.9992,0.1733
exact_total,1.0035,0.1763
exact_total,1.0078,0.1803
exact_total,1.0120,0.1831
exact_total,1.0163,0.1846
exact_total,1.0206,0.1823
exact_total,1.0248,0.1873
exact_total,1.0291,0.1903
exact_total,1.0334,0.1944
exact_total,1.0377,0.1971
exact_total,1.0419,0.1973
exact_total,1.0462,0.1951
exact_total,1.0505,0.2009
exact_total,1.0547,0.2041
exact_total,1.0590,0.2088
exact_total,1.0633,0.2136
exact_total,1.0675,0.2103
exact_total,1.0718,0.2081
exact_total,1.0761,0.2143
exact_total,1.0804,0.2188
exact_total,1.0846,0.2233
exact_total,1.0889,0.2249
exact_total,1.0932,0.2233
exact_total,1.0974,0.2226
exact_total,1.1017,0.2276
exact_total,1.1060,0.2331
exact_total,1.1102,0.2378
exact_total,1.1145,0.2404
exact_total,1.1188,0.2358
exact_total,1.1231,0.2379
exact_total,1.1273,0.2409
exact_total,1.1316,0.2473
exact_total,1.1359,0.2523
exact_total,1.1401,0.2533
exact_total,1.1444,0.2486
exact_total,1.1487,0.2519
exact_total,1.1529,0.2551
exact_total,1.1572,0.2611
exact_total,1.1615,0.2673
exact_total,1.1658,0.2659
exact_total,1.1700,0.2619
exact_total,1.1743,0.2656
exact_total,1.1786,0.2689
exact_total,1.1828,0.2759
exact_total,1.1871,0.2749
exact_total,1.1914,0.2787
exact_total,1.1956,0.2756
exact_total,1.1999,0.2789
exact_total,1.2042,0.2874
exact_total,1.2085,0.2887
exact_total,1.2127,0.2887
exact_total,1.2170,0.2916
exact_total,1.2213,0.2892
exact_total,1.2255,0.2922
exact_total,1.2298,0.3021
exact_total,1.2341,0.3027
exact_total,1.2383,0.3029
exact_total,1.2426,0.3041
exact_total,1.2469,0.3029
exact_total,1.2512,0.3056
exact_total,1.2554,0.3079
exact_total,1.2597,0.3101
spa_dominant,0.6121,0.0039
spa_dominant,0.6202,0.0047
spa_dominant,0.6282,0.0055
spa_dominant,0.6363,0.0090
spa_dominant,0.6444,0.0123
spa_dominant,0.6524,0.0160
spa_dominant,0.6605,0.0193
spa_dominant,0.6685,0.0228
spa_dominant,0.6766,0.0263
spa_dominant,0.6847,0.0298
spa_dominant,0.6927,0.0333
spa_dominant,0.7008,0.0367
spa_dominant,0.7089,0.0403
spa_dominant,0.7169,0.0437
spa_dominant,0.7250,0.0435
spa_dominant,0.7331,0.0507
spa_dominant,0.7411,0.0540
spa_dominant,0.7492,0.0538
spa_dominant,0.7573,0.0610
spa_dominant,0.7653,0.0647
spa_dominant,0.7734,0.0643
spa_dominant,0.7815,0.0715
spa_dominant,0.7895,0.0750
spa_dominant,0.7976,0.0748
spa_dominant,0.8057,0.0820
spa_dominant,0.8137,0.0853
spa_dominant,0.8218,0.0852
spa_dominant,0.8299,0.0923
spa_dominant,0.8379,0.0956
spa_dominant,0.8460,0.0955
spa_dominant,0.8541,0.1026
spa_dominant,0.8621,0.1063
spa_dominant,0.8702,0.1088
spa_dominant,0.8782,0.1131
spa_dominant,0.8863,0.1165
spa_dominant,0.8944,0.1191
spa_dominant,0.9039,0.1230
spa_dominant,0.9119,0.1250
spa_dominant,0.9200,0.1226
spa_dominant,0.9281,0.1305
spa_dominant,0.9361,0.1320
spa_dominant,0.9442,0.1331
spa_dominant,0.9523,0.1373
spa_dominant,0.9603,0.1353
spa_dominant,0.9684,0.1391
spa_dominant,0.9765,0.1440
spa_dominant,0.9845,0.1418
spa_dominant,0.9926,0.1456
spa_dominant,1.0007,0.1508
spa_dominant,1.0087,0.1483
spa_dominant,1.0168,0.1516
spa_dominant,1.0248,0.1576
spa_dominant,1.0329,0.1546
spa_dominant,1.0410,0.1578
spa_dominant,1.0490,0.1643
spa_dominant,1.0571,0.1666
spa_dominant,1.0652,0.1688
spa_dominant,1.0732,0.1711
spa_dominant,1.0813,0.1733
spa_dominant,1.0894,0.1756
spa_dominant,1.0974,0.1780
spa_dominant,1.1055,0.1801
spa_dominant,1.1136,0.1825
spa_dominant,1.1216,0.1846
spa_dominant,1.1297,0.1870
spa_dominant,1.1378,0.1891
spa_dominant,1.1458,0.1914
spa_dominant,1.1539,0.1936
spa_dominant,1.1620,0.1959
spa_dominant,1.1700,0.1981
spa_dominant,1.1781,0.2004
spa_dominant,1.1862,0.2026
spa_dominant,1.1942,0.2049
spa_dominant,1.2023,0.2073
spa_dominant,1.2104,0.2094
spa_dominant,1.2184,0.2118
spa_dominant,1.2265,0.2139
spa_dominant,1.2345,0.2163
spa_dominant,1.2426,0.2184
spa_dominant,1.2507,0.2208
spa_dominant,1.2587,0.2229
spa_second,0.6168,0.0014
spa_second,0.6249,0.0014
spa_second,0.6330,0.0014
spa_second,0.6410,0.0052
spa_second,0.6491,0.0037
spa_second,0.6572,0.0014
spa_second,0.6652,0.0050
spa_second,0.6733,0.0042
spa_second,0.6814,0.0014
spa_second,0.6894,0.0048
spa_second,0.6975,0.0043
spa_second,0.7056,0.0014
spa_second,0.7136,0.0045
spa_second,0.7217,0.0047
spa_second,0.7298,0.0014
spa_second,0.7378,0.0042
spa_second,0.7459,0.0048
spa_second,0.7539,0.0014
spa_second,0.7620,0.0037
spa_second,0.7701,0.0052
spa_second,0.7781,0.0014
spa_second,0.7862,0.0032
spa_second,0.7943,0.0053
spa_second,0.8023,0.0014
spa_second,0.8104,0.0030
spa_second,0.8185,0.0053
spa_second,0.8265,0.0014
spa_second,0.8346,0.0029
spa_second,0.8427,0.0053
spa_second,0.8507,0.0014
spa_second,0.8588,0.0025
spa_second,0.8669,0.0055
spa_second,0.8749,0.0014
spa_second,0.8830,0.0022
spa_second,0.8911,0.0057
spa_second,0.8991,0.0020
spa_second,0.9072,0.0060
spa_second,0.9153,0.0040
spa_second,0.9233,0.0068
spa_second,0.9314,0.0078
spa_second,0.9395,0.0103
spa_second,0.9475,0.0140
spa_second,0.9556,0.0137
spa_second,0.9636,0.0168
spa_second,0.9717,0.0208
spa_second,0.9798,0.0195
spa_second,0.9878,0.0237
spa_second,0.9959,0.0277
spa_second,1.0040,0.0255
spa_second,1.0120,0.0308
spa_second,1.0201,0.0330
spa_second,1.0282,0.0313
spa_second,1.0362,0.0332
spa_second,1.0443,0.0352
spa_second,1.0524,0.0372
