data,passive,q_factor
D0,,
0,(14.355989327983448-0.16654628066554644j),41.20044641193393
1,(15.244764103169551-0.18862426332182497j),40.1431832329373
2,(16.170373098913455-0.18779616077145167j),37.365998089113276
3,(17.059688356502477-0.16663026357278593j),34.79090888216138
4,(13.480207328166653-0.17531262997002015j),30.594412409401524
5,(17.93971702705496-0.17352778236879463j),26.370164462186565
6,(18.84940764255967-0.1918459396598211j),18.563224896040357
7,(19.758679334610203-0.17342777058461215j),16.201166580154585
8,(11.650836801504848-0.1761360217409341j),14.723362771460149
9,(10.778628916482281-0.16682324218410716j),10.840794879580672
10,(9.89766859732648-0.1985935959898082j),6.401667490443921
11,(8.069891468396287-0.16765025857236818j),3.798393828721054
12,(7.207980152451957-0.17961420053817484j),2.5903331480471175
13,(5.3529851289463695-0.18372216974612943j),1.284607898107447
